Plant_ID,Location,Energy_Source,Timestamp,Year,Month,Day,Hour,Installed_Capacity_MW,Energy_Produced_MWh,Efficiency_%,Temperature_C,Wind_Speed_mps,Solar_Irradiance_Wm2,Downtime_Hours,Maintenance_Cost,Voltage_V,Current_A,Power_Factor,Frequency_Hz,Humidity_%,Pressure_hPa,Grid_Status,Outage_Events
P3,Tamil Nadu,Solar,2024-01-01 10:00:00,2024,1,1,10,96.35,26.58,27.59,32.5,0.26,240.33,0.76,7027.64,225.73,79.99,0.91,50.29,74.83,1018.22,Active,0
P3,Maharashtra,Solar,2024-01-01 11:00:00,2024,1,1,11,455.72,16.6,3.64,20.71,5,433.52,0.98,1638.31,210.15,11.6,0.77,50.2,23.96,971.59,Inactive,1
P1,Maharashtra,Wind,2024-01-01 12:00:00,2024,1,1,12,143.74,122.2,85.01,40.13,8.63,148.18,4.57,876.94,211.99,19.81,0.86,50.47,32.87,968.78,Inactive,3
P2,Tamil Nadu,Solar,2024-01-01 13:00:00,2024,1,1,13,153.58,13.99,9.11,31.46,15.66,274.67,0.33,8326.39,214.74,71.9,0.8,49.58,45.19,1025.18,Active,2
P4,Maharashtra,Solar,2024-01-01 14:00:00,2024,1,1,14,260.39,131.08,50.34,41.9,1.55,540.97,5,6952.59,228.31,70.75,0.98,50.28,75.8,989.52,Active,1
P2,Karnataka,Solar,2024-01-01 15:00:00,2024,1,1,15,394.43,294.17,74.58,42.03,4.97,957.86,0.91,535.66,230.51,93.72,0.97,50.1,82.65,965.86,Inactive,3
P1,Rajasthan,Wind,2024-01-01 16:00:00,2024,1,1,16,292.86,260.14,88.83,26.63,19.35,470.83,2.44,1197.13,234.57,86.01,0.91,50.18,85.73,1036.4,Inactive,2
P1,Karnataka,Wind,2024-01-01 17:00:00,2024,1,1,17,484.88,65.66,13.54,43.09,6.78,495.68,3.31,8696.05,231.62,65.16,0.95,49.86,89.56,960.41,Inactive,2
P2,Maharashtra,Wind,2024-01-01 18:00:00,2024,1,1,18,83.07,33.01,39.74,27.11,9.78,601.72,0.24,249.4,221.53,10.56,0.9,50.45,30.8,1049.8,Inactive,1
P4,Gujarat,Wind,2024-01-01 19:00:00,2024,1,1,19,59.32,49.11,82.79,44.57,7.39,781.81,1.74,3533.34,231.24,26.41,0.72,49.69,61.72,1029.97,Inactive,1
P5,Karnataka,Solar,2024-01-01 20:00:00,2024,1,1,20,470.92,112.74,23.94,24.86,9.03,890.56,3.16,835.93,214.99,51.84,0.74,50.42,79.37,981.79,Inactive,0
P1,Gujarat,Hydro,2024-01-01 21:00:00,2024,1,1,21,215.97,13.84,6.41,39.81,12.89,512.18,3.92,7416.86,215.63,91.07,0.79,50.15,34.05,1026.98,Active,0
P1,Tamil Nadu,Solar,2024-01-01 22:00:00,2024,1,1,22,145.28,39.68,27.31,16.89,9.97,306.76,3.61,7520.5,232.23,67.82,0.89,50.27,53.85,950.41,Active,1
P4,Gujarat,Solar,2024-01-01 23:00:00,2024,1,1,23,148.88,78.52,52.74,43.38,4.32,68.01,1.78,3546.2,216.91,15.17,0.78,49.87,84.31,977.28,Inactive,2
P1,Gujarat,Solar,2024-01-02 00:00:00,2024,1,2,0,183.26,71.62,39.08,15.55,9.55,331.92,0.88,4787.71,215.45,84.73,0.84,49.56,98.76,982.44,Inactive,3
P1,Rajasthan,Wind,2024-01-02 01:00:00,2024,1,2,1,424.53,42.06,9.91,39.26,2.8,790.15,4.89,5796.45,228.96,92.44,0.9,49.66,94.43,961.99,Active,2
P4,Maharashtra,Hydro,2024-01-02 02:00:00,2024,1,2,2,403.79,238.63,59.1,26.76,19.67,419.98,4.91,2866.39,225.06,80.71,0.74,50.44,53.39,988.86,Active,1
P1,Gujarat,Hydro,2024-01-02 03:00:00,2024,1,2,3,50.24,47.41,94.37,40.6,7.21,156.7,0.88,5905.72,226.3,73.92,0.99,50.35,47.99,985.83,Active,3
P4,Karnataka,Hydro,2024-01-02 04:00:00,2024,1,2,4,204.54,116.09,56.76,29.54,1.84,397.98,1.39,9156.1,211.57,67.92,0.89,50.08,95.22,1042.05,Active,0
P4,Maharashtra,Hydro,2024-01-02 05:00:00,2024,1,2,5,444.39,364.11,81.93,39.14,2.77,48.57,1.15,8745.86,229.65,85.52,0.75,49.78,38.92,995.48,Active,0
P3,Rajasthan,Hydro,2024-01-02 06:00:00,2024,1,2,6,215.71,106.56,49.4,34.1,5.56,520.87,0.27,8849.1,234.26,17.65,0.91,50.47,87.12,977.6,Inactive,3
P4,Karnataka,Wind,2024-01-02 07:00:00,2024,1,2,7,413.92,237.18,57.3,23.55,0.81,719.02,0.04,8522.54,230.89,51.05,0.8,49.84,96.66,1049.64,Active,2
P2,Gujarat,Solar,2024-01-02 08:00:00,2024,1,2,8,286.84,80.8,28.17,25.61,6.93,607.54,2.23,8782.68,213.16,25.05,0.93,50.14,21.26,955.08,Active,1
P1,Tamil Nadu,Wind,2024-01-02 09:00:00,2024,1,2,9,410.38,388.81,94.74,27.21,5.14,519.01,4.45,5001.02,222.97,27.02,0.92,49.52,86.48,991.09,Active,3
P2,Maharashtra,Hydro,2024-01-02 10:00:00,2024,1,2,10,228.65,149.81,65.52,44.99,8.88,88.21,3.96,8707.98,239.06,13.24,0.71,49.58,87.1,993.15,Inactive,2
P5,Rajasthan,Solar,2024-01-02 11:00:00,2024,1,2,11,209.86,91.45,43.58,19.47,7.51,525.5,1.34,6117.62,238.03,58.35,0.88,49.73,40.48,1005.17,Inactive,0
P2,Gujarat,Solar,2024-01-02 12:00:00,2024,1,2,12,375.67,240.81,64.1,43.3,7.06,530.67,3.59,3412.77,213.51,96.91,0.79,49.59,96.31,1031.98,Inactive,0
P3,Maharashtra,Wind,2024-01-02 13:00:00,2024,1,2,13,406.83,167.52,41.18,25.78,13.1,513.8,2.59,4549.2,210.3,94.8,0.73,49.75,69.55,952.93,Active,1
P1,Maharashtra,Hydro,2024-01-02 14:00:00,2024,1,2,14,322.88,186.27,57.69,25.21,9.42,397.86,4.24,8039.72,221.25,94.85,0.86,49.91,70.01,1038.69,Inactive,1
P4,Tamil Nadu,Wind,2024-01-02 15:00:00,2024,1,2,15,357.13,91.98,25.76,43.75,2.98,45.88,1.67,1625.29,234.86,80.8,0.84,49.81,30.15,1015.63,Active,3
P4,Maharashtra,Solar,2024-01-02 16:00:00,2024,1,2,16,225.9,108.67,48.11,44.31,13.08,944.86,1.73,8230.95,221.42,10.85,0.7,50.5,30.4,1032.73,Active,0
P3,Karnataka,Wind,2024-01-02 17:00:00,2024,1,2,17,66.95,59.18,88.39,30.43,3.76,560.71,2.14,4170.45,228.3,52.63,0.74,49.9,25.55,1000.68,Active,0
P3,Maharashtra,Hydro,2024-01-02 18:00:00,2024,1,2,18,442.93,282.38,63.75,32.08,15.02,512.25,2.12,4132.26,216.31,17.98,0.76,50.39,89.65,979.4,Inactive,1
P2,Karnataka,Hydro,2024-01-02 19:00:00,2024,1,2,19,451.89,27.9,6.17,20.14,16.6,775.61,1.75,5286.31,221.63,77.46,0.87,50.44,30.74,1008.37,Active,0
P2,Tamil Nadu,Hydro,2024-01-02 20:00:00,2024,1,2,20,192.12,114.13,59.41,22.36,9.42,428.87,0.62,3381.35,211.76,25.75,0.93,50.37,22.72,1023.77,Inactive,1
P1,Tamil Nadu,Wind,2024-01-02 21:00:00,2024,1,2,21,478.32,451.06,94.3,20.75,3.71,377.71,2.03,5986.96,233.42,25.92,0.92,49.82,31.8,959.08,Active,1
P2,Gujarat,Wind,2024-01-02 22:00:00,2024,1,2,22,140.4,91.96,65.5,34.86,13.13,370.97,0.83,8783.53,224.99,52.28,0.88,50.24,94.88,1045.47,Active,0
P4,Maharashtra,Solar,2024-01-02 23:00:00,2024,1,2,23,100.54,41.05,40.83,35.73,0.91,831.87,1.25,7889.83,239.73,22.8,1,49.63,60.27,1018,Inactive,0
P2,Maharashtra,Wind,2024-01-03 00:00:00,2024,1,3,0,360.07,87.99,24.44,23.16,3.16,530.07,2.96,7628.73,223.13,29.37,0.93,49.7,56.01,971.78,Inactive,2
P2,Gujarat,Wind,2024-01-03 01:00:00,2024,1,3,1,367.46,212.98,57.96,35.75,19.97,132.27,2.25,3172.52,227.27,14.29,0.95,49.89,57.13,1014.87,Inactive,2
P3,Maharashtra,Solar,2024-01-03 02:00:00,2024,1,3,2,77.17,47.48,61.53,42.1,7,578.43,1.81,4319.42,221.39,24.42,0.84,49.99,21.92,960.24,Inactive,2
P2,Karnataka,Hydro,2024-01-03 03:00:00,2024,1,3,3,65.63,11.56,17.61,23.95,1.84,682.73,4.93,6533.91,226.36,48.46,0.73,50.44,40.51,1009.83,Inactive,0
P3,Gujarat,Hydro,2024-01-03 04:00:00,2024,1,3,4,286.26,29.93,10.46,37.71,5.12,161.78,0.1,5384.55,222.64,84.38,0.75,50.04,70.07,1026.89,Inactive,0
P5,Rajasthan,Hydro,2024-01-03 05:00:00,2024,1,3,5,387.59,280.28,72.31,22.57,18.79,942.98,1.63,7201.88,236.18,92.44,0.72,49.81,34.49,974.76,Active,1
P1,Karnataka,Solar,2024-01-03 06:00:00,2024,1,3,6,471.04,98.73,20.96,17.08,9.34,426.37,2.6,5373.48,218.58,17.34,0.99,50.34,34.21,1006.87,Inactive,2
P5,Karnataka,Wind,2024-01-03 07:00:00,2024,1,3,7,170.48,71.11,41.71,39.29,3.55,378.73,4.58,7300.96,233.06,40.75,0.77,50.09,99.62,950.36,Inactive,0
P5,Gujarat,Hydro,2024-01-03 08:00:00,2024,1,3,8,114.34,34.47,30.15,24.67,0.51,472.11,2.61,4023.96,210.9,99.16,0.76,49.59,63.05,1019.92,Active,0
P2,Maharashtra,Solar,2024-01-03 09:00:00,2024,1,3,9,338.57,323.84,95.65,17.18,9.86,953.94,4.78,7247.02,228.51,56.46,0.7,50.35,56.23,1036.61,Active,2
P4,Karnataka,Hydro,2024-01-03 10:00:00,2024,1,3,10,206.08,119.33,57.9,18.77,2.6,445.51,0.41,997.37,228.94,81.71,0.72,50.38,39.54,981.09,Inactive,0
P1,Rajasthan,Solar,2024-01-03 11:00:00,2024,1,3,11,430.41,313.77,72.9,41.93,18.34,259.53,0.71,8886.59,224.32,55.78,0.93,50.34,24.4,998.05,Active,0
P1,Gujarat,Wind,2024-01-03 12:00:00,2024,1,3,12,291.18,83.05,28.52,34.66,11.36,608.54,4.58,1762.1,212.3,17.41,0.93,50.38,59.13,1025.71,Inactive,0
P4,Maharashtra,Wind,2024-01-03 13:00:00,2024,1,3,13,429.22,199.06,46.38,16.64,16.03,883.8,0.81,4208.85,221.5,47.23,0.73,50.06,46.89,1016.39,Active,0
P3,Tamil Nadu,Wind,2024-01-03 14:00:00,2024,1,3,14,357.66,17.77,4.97,28.54,16.58,660.2,3.14,9041.63,211.01,57.53,0.94,49.9,76.8,1004.35,Active,3
P3,Gujarat,Wind,2024-01-03 15:00:00,2024,1,3,15,306.87,119.24,38.86,34.5,0.7,639.74,2.86,800.23,225.48,88.65,0.83,49.5,49.04,1032.47,Inactive,3
P4,Rajasthan,Solar,2024-01-03 16:00:00,2024,1,3,16,232.73,98.45,42.3,44.82,10.91,115.03,3.56,4395.2,235.38,58.83,0.78,49.88,98.81,1011.79,Active,3
P3,Karnataka,Wind,2024-01-03 17:00:00,2024,1,3,17,494.57,462.9,93.6,36.56,1.58,791.52,1.22,4391.3,210.13,19.43,0.8,50.18,64.48,1022.67,Inactive,0
P3,Gujarat,Solar,2024-01-03 18:00:00,2024,1,3,18,256.08,16.71,6.53,36.43,2.15,329.71,3.84,7997.13,225.84,81.34,0.93,49.98,62.06,976.29,Active,3
P1,Tamil Nadu,Wind,2024-01-03 19:00:00,2024,1,3,19,196.33,53.78,27.39,24.92,8.1,511.97,4.99,6544.95,229.97,94.75,0.73,50.28,94.88,958.34,Active,3
P5,Maharashtra,Wind,2024-01-03 20:00:00,2024,1,3,20,278.91,187.4,67.19,18.75,7.07,382.51,4.81,3201.47,214.92,87.24,0.77,50.36,93.47,1003.8,Active,1
P4,Tamil Nadu,Solar,2024-01-03 21:00:00,2024,1,3,21,108.28,36.03,33.27,20.87,6.9,683.05,0.38,3214.19,215.52,41.9,0.73,50.24,21.58,1036.43,Inactive,2
P3,Gujarat,Hydro,2024-01-03 22:00:00,2024,1,3,22,357.56,63.7,17.82,23.59,7.11,982.74,4.25,6579.79,237.81,70.86,0.8,50.43,26.27,1012.2,Inactive,2
P3,Rajasthan,Wind,2024-01-03 23:00:00,2024,1,3,23,303.8,285.39,93.94,27.91,15.82,284.04,4.08,4730.64,227.06,15.24,0.98,50.17,47.03,1000.19,Active,2
P3,Rajasthan,Hydro,2024-01-04 00:00:00,2024,1,4,0,96.45,15.42,15.99,37,10.09,143.88,1.95,6953.38,233.41,61.88,0.78,49.93,30.33,980.36,Active,0
P5,Rajasthan,Solar,2024-01-04 01:00:00,2024,1,4,1,369.05,102.13,27.67,26.8,4.91,504.09,3.01,6417.56,215.39,51.47,0.99,50.19,42.65,1004.42,Active,0
P4,Rajasthan,Solar,2024-01-04 02:00:00,2024,1,4,2,363.06,248.7,68.5,25.25,6.21,904.01,3.9,5294.12,216.51,51.27,0.98,49.97,81.67,994.64,Inactive,0
P2,Tamil Nadu,Wind,2024-01-04 03:00:00,2024,1,4,3,267.18,217.81,81.52,35.86,6.07,868.18,3.4,3388.12,226.57,25.38,0.95,49.8,99.96,956.45,Active,3
P4,Gujarat,Hydro,2024-01-04 04:00:00,2024,1,4,4,97.52,44.37,45.5,29.73,0.18,963.49,3.58,5321.82,237.19,79.77,0.89,49.76,41.27,964.08,Active,3
P1,Rajasthan,Wind,2024-01-04 05:00:00,2024,1,4,5,226.11,102.51,45.34,28.84,8.74,801.62,4.86,4398.99,215.61,65.2,0.83,49.57,88.96,955.16,Inactive,0
P3,Rajasthan,Wind,2024-01-04 06:00:00,2024,1,4,6,189.26,45.62,24.1,44.49,7.34,111.18,4.58,427.93,224.75,19.16,0.96,49.77,42.63,1048.41,Active,0
P5,Karnataka,Solar,2024-01-04 07:00:00,2024,1,4,7,169.16,105.63,62.44,26.2,16.63,53.5,0.58,9750.25,226.17,49.84,0.98,49.98,20.57,1038.31,Active,1
P2,Karnataka,Hydro,2024-01-04 08:00:00,2024,1,4,8,107.51,80.35,74.74,16.45,16.83,699.78,4.84,5457.36,231.47,48.08,0.84,50.02,70.55,1013.52,Inactive,1
P3,Karnataka,Solar,2024-01-04 09:00:00,2024,1,4,9,478.54,170.3,35.59,27.25,9.07,796.77,4.94,9718.08,223.33,38.37,0.71,49.63,35.94,1008.34,Inactive,3
P5,Karnataka,Wind,2024-01-04 10:00:00,2024,1,4,10,323.51,176.13,54.44,17.22,12.88,56.22,3.63,6065.64,225.49,60.95,0.94,49.9,99.19,955.74,Active,2
P1,Karnataka,Hydro,2024-01-04 11:00:00,2024,1,4,11,293.09,82.23,28.06,20.48,16.03,722.02,2.28,1549.42,236.64,75,0.95,49.55,63.28,1043.25,Inactive,3
P2,Gujarat,Hydro,2024-01-04 12:00:00,2024,1,4,12,442.06,305.01,69,26.08,18.82,329.77,4.71,8578.88,232.12,50.06,0.86,50.15,56.47,997.15,Inactive,3
P3,Tamil Nadu,Wind,2024-01-04 13:00:00,2024,1,4,13,329.22,297.45,90.35,35.87,17.02,672.83,2.41,2450.97,220.53,63.79,0.93,49.6,81.91,963.53,Active,0
P3,Rajasthan,Hydro,2024-01-04 14:00:00,2024,1,4,14,276.57,220.5,79.73,23.96,16.69,338.49,1.27,9974.53,225.8,69.47,0.83,49.99,34.53,995.73,Active,2
P5,Gujarat,Hydro,2024-01-04 15:00:00,2024,1,4,15,335.76,317.79,94.65,18.04,16.7,41.96,4.36,6837.98,218.56,70.09,0.86,50.22,42.21,969.65,Inactive,2
P3,Gujarat,Solar,2024-01-04 16:00:00,2024,1,4,16,222.91,106.15,47.62,34.67,10.46,828.49,3.32,3352.56,213.38,49.41,0.91,50.5,20.33,985.21,Inactive,1
P5,Maharashtra,Solar,2024-01-04 17:00:00,2024,1,4,17,392.43,220.62,56.22,19.72,2.15,541.87,3.87,6061.94,233.28,34.12,0.82,50.04,45.98,1040.27,Active,1
P4,Maharashtra,Solar,2024-01-04 18:00:00,2024,1,4,18,275.75,53.19,19.29,19.76,10.81,910.07,2.86,3360.43,223.25,64.65,0.88,49.91,96.91,1014.44,Inactive,3
P5,Rajasthan,Hydro,2024-01-04 19:00:00,2024,1,4,19,67.68,20.23,29.89,37.92,12.97,598.29,2.05,8023.08,232.66,31.98,0.91,50.05,95.82,1047.22,Inactive,3
P4,Maharashtra,Wind,2024-01-04 20:00:00,2024,1,4,20,464.97,199.78,42.97,27.11,15.2,685.87,4.38,9549.53,219.34,66.32,0.72,49.95,86.8,1004.64,Inactive,1
P4,Maharashtra,Wind,2024-01-04 21:00:00,2024,1,4,21,262.57,168.21,64.06,15.97,11.33,721.33,3.37,7169.56,219.24,12.21,0.74,49.8,50.65,1008.79,Inactive,3
P3,Tamil Nadu,Wind,2024-01-04 22:00:00,2024,1,4,22,273.59,138.62,50.67,28.04,10.3,678.77,4.82,9991.31,213.25,75.4,0.95,50.5,58.39,972.07,Inactive,1
P2,Maharashtra,Hydro,2024-01-04 23:00:00,2024,1,4,23,478.16,314.07,65.68,22.9,17.1,933.08,1.96,8324.35,230.65,76.82,0.91,49.53,40.04,961.42,Active,2
P4,Karnataka,Wind,2024-01-05 00:00:00,2024,1,5,0,116.26,17.45,15.01,32.73,11.51,710.65,0.07,6439.45,235.49,51.22,0.87,49.69,53.41,976.59,Inactive,0
P3,Rajasthan,Wind,2024-01-05 01:00:00,2024,1,5,1,79.03,15.86,20.07,24.64,4.62,629.79,4.37,5679.52,221.97,43.19,0.98,50.07,37.24,956.24,Inactive,1
P3,Karnataka,Solar,2024-01-05 02:00:00,2024,1,5,2,252.1,176.6,70.05,20.28,9.78,98.42,3.8,7821.1,215.66,88.79,0.82,50.06,59.19,1042.61,Active,2
P3,Tamil Nadu,Wind,2024-01-05 03:00:00,2024,1,5,3,482.19,61.55,12.76,16.93,19.3,477.01,3.85,5294.16,230.64,44.28,0.73,49.53,84.69,1002.7,Inactive,2
P5,Rajasthan,Solar,2024-01-05 04:00:00,2024,1,5,4,148.14,140.37,94.75,30.21,16.9,461.54,0.54,6853.44,234.07,69.16,0.99,49.51,74.87,966.13,Active,1
P4,Rajasthan,Wind,2024-01-05 05:00:00,2024,1,5,5,445.34,109.49,24.59,27.14,13.15,253.2,0.31,2861.56,227.62,42.36,0.85,50.15,74.6,1042.96,Active,3
P2,Karnataka,Hydro,2024-01-05 06:00:00,2024,1,5,6,434.62,418.61,96.32,18.58,13.13,668.67,4.73,8261.46,222.94,90.6,0.83,50.02,73.05,1006.95,Active,2
P1,Rajasthan,Wind,2024-01-05 07:00:00,2024,1,5,7,355.77,157.84,44.37,38.65,10.82,474.21,3.07,4855.6,234.93,24.34,0.96,50.22,37.39,987.08,Active,3
P3,Maharashtra,Solar,2024-01-05 08:00:00,2024,1,5,8,192.98,92.34,47.85,15.24,11.05,833.04,2.75,9131.67,210.41,59.29,0.79,50.2,69.82,1001.39,Active,2
P2,Gujarat,Wind,2024-01-05 09:00:00,2024,1,5,9,276.08,105.26,38.13,28.75,8.26,624.25,3.63,6770.35,236.07,17.94,0.72,49.88,45.41,1001.75,Active,3
P3,Tamil Nadu,Wind,2024-01-05 10:00:00,2024,1,5,10,76.57,23.51,30.7,40.71,10.53,309.48,3.96,7226.72,238.28,38.76,0.87,49.53,40.13,1012.87,Active,3
P5,Gujarat,Wind,2024-01-05 11:00:00,2024,1,5,11,81.15,48.91,60.27,27.5,4.11,432.87,2.39,5305.75,237.88,65.72,0.83,49.83,29.67,1025.02,Inactive,0
P1,Karnataka,Solar,2024-01-05 12:00:00,2024,1,5,12,59.47,29.74,50.01,29.46,17.48,289.56,3.77,4233.65,236.08,94.19,0.77,49.6,82.44,1048.28,Inactive,3
P4,Karnataka,Hydro,2024-01-05 13:00:00,2024,1,5,13,52.85,47.55,89.97,30.53,2.27,301.11,3.17,7727.91,223.28,79.3,0.94,50.47,66.52,1026.36,Active,2
P3,Tamil Nadu,Solar,2024-01-05 14:00:00,2024,1,5,14,328.1,60.22,18.35,32.83,12.23,847.38,3.99,7385.62,228.01,41.83,0.94,49.81,77.53,1048.44,Active,0
P4,Karnataka,Wind,2024-01-05 15:00:00,2024,1,5,15,351.36,313.47,89.22,34.28,18.64,728.87,1.14,4511,232.09,31.66,1,50.05,20.58,959.05,Active,3
P1,Maharashtra,Hydro,2024-01-05 16:00:00,2024,1,5,16,241.2,70.04,29.04,34.42,12.91,172.41,1.56,4694.35,221.76,23.46,0.98,49.98,87.62,992.95,Active,3
P5,Maharashtra,Solar,2024-01-05 17:00:00,2024,1,5,17,392.42,27.87,7.1,44.9,5.47,97.38,4.26,4010.78,217.79,93.84,0.84,49.95,81.08,979.18,Active,1
P3,Tamil Nadu,Hydro,2024-01-05 18:00:00,2024,1,5,18,50.67,11.01,21.73,36.71,3.7,15.4,4.32,2805.46,222.8,51.29,0.85,49.73,62.65,1027.91,Active,2
P4,Karnataka,Hydro,2024-01-05 19:00:00,2024,1,5,19,81.96,70.21,85.66,29.26,3.76,568.96,4.43,4443.68,218.37,18.86,0.8,50.27,70.21,952.02,Inactive,3
P2,Gujarat,Hydro,2024-01-05 20:00:00,2024,1,5,20,485.35,13.8,2.84,20.02,5.13,46.89,4.3,7850.48,214.46,53.64,0.98,49.53,25.01,1048.65,Active,1
P1,Rajasthan,Solar,2024-01-05 21:00:00,2024,1,5,21,173.72,98.81,56.88,35.22,1.83,995.78,3.6,614.2,216.12,42.78,0.73,50.13,54.97,1000.57,Inactive,3
P2,Gujarat,Hydro,2024-01-05 22:00:00,2024,1,5,22,471.65,37.68,7.99,16.16,19.9,719.92,0.47,8234.86,236.34,26.09,0.95,50,41.06,1000.16,Active,3
P2,Maharashtra,Solar,2024-01-05 23:00:00,2024,1,5,23,327.88,253.56,77.33,40.21,10.73,253.12,2.86,4307.31,213.75,78.86,0.79,50.43,75.31,1013.12,Inactive,1
P2,Karnataka,Hydro,2024-01-06 00:00:00,2024,1,6,0,472.93,315.51,66.71,18.26,8.37,543.33,0.87,3376.57,217.19,60.63,0.87,49.9,77.11,992.71,Active,2
P3,Karnataka,Hydro,2024-01-06 01:00:00,2024,1,6,1,189.32,71.46,37.75,26.25,2.76,512.66,2.16,3033.6,225.82,98.94,0.88,49.7,66.47,1019.86,Active,0
P2,Gujarat,Wind,2024-01-06 02:00:00,2024,1,6,2,108.99,41.93,38.47,20.45,4.39,222.2,1.88,1930.54,220.55,96.64,0.87,50.15,74.88,972.02,Active,1
P1,Tamil Nadu,Hydro,2024-01-06 03:00:00,2024,1,6,3,139.5,126.93,90.99,16.79,13.87,44.88,4.97,7876.68,221.54,27.35,0.74,49.98,75.45,1008.25,Inactive,2
P1,Maharashtra,Solar,2024-01-06 04:00:00,2024,1,6,4,302.43,283.65,93.79,24.75,13.98,951.51,4.56,6171.5,214.07,73.97,0.94,50.12,25.35,961.47,Active,2
P4,Tamil Nadu,Hydro,2024-01-06 05:00:00,2024,1,6,5,435.93,272.65,62.54,20.59,0.07,719.06,4.77,7277.35,220.91,39.35,0.71,49.93,41.53,1046.3,Active,3
P2,Tamil Nadu,Hydro,2024-01-06 06:00:00,2024,1,6,6,299.31,294.57,98.42,44.12,5.47,583.29,3.92,5333.8,216.7,73.35,0.86,50.17,72.19,960.71,Inactive,3
P1,Rajasthan,Hydro,2024-01-06 07:00:00,2024,1,6,7,370.64,98.62,26.61,16.6,11.08,433.11,0.44,8898.39,229.85,47.61,0.84,49.8,29.7,1037.62,Active,2
P4,Maharashtra,Hydro,2024-01-06 08:00:00,2024,1,6,8,342.99,108.83,31.73,39.98,8.06,836.57,4.36,5126.52,217.34,77.81,0.91,50.34,41.24,962.73,Active,2
P4,Maharashtra,Solar,2024-01-06 09:00:00,2024,1,6,9,415.05,361.72,87.15,16.04,4.98,41.91,4.08,8144.93,227.38,27.73,0.72,49.53,51.63,1031.37,Active,1
P5,Gujarat,Solar,2024-01-06 10:00:00,2024,1,6,10,253.47,166.02,65.5,25.1,11.7,172.59,3.48,6580.21,235.73,14.98,0.76,49.89,89.65,1029.62,Inactive,0
P3,Rajasthan,Solar,2024-01-06 11:00:00,2024,1,6,11,355.13,148.19,41.73,43.9,16.81,257.81,3,3297.48,211.76,68.57,0.82,50.08,51.47,1024.48,Active,0
P4,Maharashtra,Hydro,2024-01-06 12:00:00,2024,1,6,12,413.73,286.1,69.15,24.28,2.31,589.21,3.63,7233.06,239.73,15.36,0.78,49.75,72.59,995.16,Inactive,0
P4,Maharashtra,Hydro,2024-01-06 13:00:00,2024,1,6,13,193.52,157.87,81.58,42.98,14.24,218.91,1.18,551.33,237.04,43.56,0.89,50.43,68.58,988.7,Active,2
P4,Rajasthan,Wind,2024-01-06 14:00:00,2024,1,6,14,111.65,12.22,10.94,37.65,9.76,283.72,1.6,2140.2,232.66,10.32,0.86,50.13,94.7,1028.26,Active,1
P1,Maharashtra,Wind,2024-01-06 15:00:00,2024,1,6,15,480.35,136.68,28.45,31.46,3.91,470.64,0.8,5707.77,228.38,38.54,1,49.88,82.39,1046.24,Inactive,1
P5,Karnataka,Wind,2024-01-06 16:00:00,2024,1,6,16,456.48,196.75,43.1,19.74,5.01,430.45,3.22,7310.9,214.22,59.12,0.92,49.63,31.5,976.03,Active,3
